"sexo","collection_code","collection_no","collection_date","maturity","total_length_cm","precaudal_length_cm","total_weight_gr","liver_weight_gr","factor_condicion_fulton","proporcion_morfometrica","peso_somatico_neto_gr","fuente_run_id"
"male","CCM","610",NA,"inmature",15.2,8.96,NA,38,NA,0.589473684210526,NA,"20260910T195140"
"male","CCM","808",NA,"inmature",15.7,10.4,13,NA,0.335926600554589,0.662420382165605,NA,"20260910T195140"
"male","CCM","839",NA,"inmature",16.1,11.2,NA,124,NA,0.695652173913043,NA,"20260910T195140"
"male","CCM","609",NA,"inmature",23,18,14,NA,0.115065340675598,0.782608695652174,NA,"20260910T195140"
"male","CCM","495",NA,"inmature",40,27.2,1542,50,2.409375,0.68,1492,"20260910T195140"
"male","CCM","506",NA,"inmature",41.6,27.5,452,24,0.627853678311334,0.661057692307692,428,"20260910T195140"
"male","CCM","542",NA,"inmature",36.8,28,NA,72,NA,0.760869565217391,NA,"20260910T195140"
"male","CCM","459",NA,"inmature",44.7,28.4,704,36,0.788224790469081,0.635346756152125,668,"20260910T195140"
"male","CCM","659",NA,"inmature",41.9,28.5,1696,90,2.3055990207947,0.68019093078759,1606,"20260910T195140"
"male","CCM","488",NA,"inmature",35,28.6,NA,NA,NA,0.817142857142857,NA,"20260910T195140"
"male","CCM","529",NA,"inmature",44.5,28.6,564,38,0.640028143081469,0.642696629213483,526,"20260910T195140"
"male","CCM","525",NA,"inmature",45.3,28.7,310,20,0.333477922906294,0.63355408388521,290,"20260910T195140"
"male","CCM","1000",2021-12-13,"inmature",45.1,29,466,26,0.507991319365847,0.643015521064301,440,"20260910T195140"
"male","CCM","499",NA,"inmature",45.9,29,2044,70,2.1136975054202,0.631808278867102,1974,"20260910T195140"
"male","CCM","554",NA,"inmature",43.7,29.2,488,26,0.584757110050317,0.668192219679634,462,"20260910T195140"
"male","CCM","551",NA,"inmature",36.9,29.3,452,30,0.899620485544681,0.794037940379404,422,"20260910T195140"
"male","CCM","527",NA,"inmature",44.6,29.5,1216,78,1.37065766409094,0.661434977578475,1138,"20260910T195140"
"male","CCM","858",NA,"inmature",51,29.8,2134,92,1.60873268953871,0.584313725490196,2042,"20260910T195140"
"male","CCM","494",NA,"inmature",43.5,30,360,16,0.437355638470895,0.689655172413793,344,"20260910T195140"
"male","CCM","553",NA,"inmature",46.5,30,362,20,0.360039136850926,0.645161290322581,342,"20260910T195140"
"male","CCM","548",NA,"inmature",48.5,30.1,326,26,0.285754043343016,0.620618556701031,300,"20260910T195140"
"male","CCM","1001",2021-12-13,"inmature",47.7,30.2,468,20,0.431211878693133,0.633123689727463,448,"20260910T195140"
"male","CCM","534",NA,"inmature",46,30.4,1772,90,1.82049806854607,0.660869565217391,1682,"20260910T195140"
"male","CCM","555",NA,"inmature",46.2,30.6,404,28,0.409690070678433,0.662337662337662,376,"20260910T195140"
"male","CCM","482",NA,"inmature",47.7,30.6,1142,58,1.0522306954435,0.641509433962264,1084,"20260910T195140"
"male","CCM","497",NA,"inmature",42.7,30.8,1001,76,1.28573199824601,0.721311475409836,925,"20260910T195140"
"male","CCM","265",2021-01-25,"inmature",42.8,31,1412,88,1.80095719089044,0.724299065420561,1324,"20260910T195140"
"male","CCM","1063",NA,"inmature",44.2,31.3,498,26,0.576716709618551,0.70814479638009,472,"20260910T195140"
"male","CCM","485",NA,"inmature",49.9,31.4,550,32,0.442650595305897,0.629258517034068,518,"20260910T195140"
"male","CCM","1061",NA,"inmature",46.5,31.5,434,16,0.431649130920723,0.67741935483871,418,"20260910T195140"
"male","CCM","662",NA,"inmature",48.8,31.5,2146,70,1.84658903168107,0.645491803278689,2076,"20260910T195140"
"male","CCM","1006",2021-12-13,"inmature",49.8,31.6,764,NA,0.618593468728222,0.634538152610442,NA,"20260910T195140"
"male","CCM","556",NA,"mature",47.9,31.7,1682,76,1.53045107661546,0.661795407098121,1606,"20260910T195140"
"male","CCM","486",NA,"inmature",49.4,31.8,1632,56,1.35375261219507,0.643724696356275,1576,"20260910T195140"
"male","CCM","1062",NA,"inmature",43.1,32,432,20,0.539575145275299,0.74245939675174,412,"20260910T195140"
"male","CCM","461",NA,"inmature",47.2,32,1582,58,1.50445943840412,0.677966101694915,1524,"20260910T195140"
"male","CCM","595",NA,"inmature",47.9,32.1,1322,NA,1.20288723144212,0.670146137787056,NA,"20260910T195140"
"male","CCM","509",NA,"inmature",49.1,32.1,1792,94,1.51388724164008,0.653767820773931,1698,"20260910T195140"
"male","CCM","513",NA,"inmature",45.6,32.5,1700,74,1.79289308991161,0.712719298245614,1626,"20260910T195140"
"male","CCM","1003",2021-12-13,"inmature",48.7,32.6,468,22,0.405190234087662,0.669404517453799,446,"20260910T195140"
"male","CCM","1004",2021-12-13,"inmature",49.9,32.6,462,24,0.371826500056953,0.653306613226453,438,"20260910T195140"
"male","CCM","465",NA,"inmature",51.1,32.6,1344,84,1.00724835853929,0.637964774951076,1260,"20260910T195140"
"male","CCM","464",NA,"inmature",49.2,33.3,564,28,0.473569578051521,0.676829268292683,536,"20260910T195140"
"male","CCM","504",NA,"inmature",52.9,33.4,342,16,0.231025059065238,0.631379962192817,326,"20260910T195140"
"male","CCM","1064",NA,"inmature",51,33.5,1388,58,1.04635472028104,0.656862745098039,1330,"20260910T195140"
"male","CCM","248",2021-01-25,"inmature",52,33.5,598,30,0.425295857988166,0.644230769230769,568,"20260910T195140"
"male","CCM","360",NA,"inmature",53.1,33.6,1500,62,1.00186151881365,0.632768361581921,1438,"20260910T195140"
"male","CCM","463",NA,"inmature",52.2,33.7,536,32,0.376836776974665,0.645593869731801,504,"20260910T195140"
"male","CCM","1100",2022-01-20,"inmature",49.4,33.9,1026,48,0.8510724142844,0.686234817813765,978,"20260910T195140"
"male","CCM","1054",NA,"inmature",51.5,34,946,58,0.692579207798471,0.660194174757282,888,"20260910T195140"
"male","CCM","359",NA,"inmature",51.9,34,566,32,0.404868843989793,0.655105973025048,534,"20260910T195140"
"male","CCM","468",NA,"inmature",53.3,34.2,1564,82,1.03289249450848,0.641651031894934,1482,"20260910T195140"
"male","CCM","207",2021-01-25,"inmature",47,34.3,736,40,0.708898798917388,0.729787234042553,696,"20260910T195140"
"male","CCM","476",NA,"inmature",49.4,34.3,1736,92,1.44002116101142,0.694331983805668,1644,"20260910T195140"
"male","CCM","590",NA,"inmature",52.5,34.5,1080,NA,0.746355685131195,0.657142857142857,NA,"20260910T195140"
"male","CCM","530",NA,"inmature",51.1,34.9,444,22,0.332751689874586,0.682974559686888,422,"20260910T195140"
"male","CCM","1052",NA,"mature",52.5,35,1732,56,1.19693337652521,0.666666666666667,1676,"20260910T195140"
"male","CCM","621",NA,"inmature",49.8,35.1,1576,80,1.27605144858073,0.704819277108434,1496,"20260910T195140"
"male","CCM","245",2021-01-25,"inmature",57.3,35.2,840,48,0.446493787142602,0.614310645724258,792,"20260910T195140"
"male","CCM","460",NA,"inmature",56.9,36.1,448,24,0.2431874813338,0.634446397188049,424,"20260910T195140"
"male","CCM","458",NA,"inmature",55.2,36.5,380,20,0.225926078128757,0.661231884057971,360,"20260910T195140"
"male","CCM","518",NA,"inmature",51.9,36.8,2436,90,1.74250972430942,0.709055876685935,2346,"20260910T195140"
